Scheme Code,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,AMC Name
118738,INF204K01G78,INF204K01G86,NIPPON INDIA BALANCED ADVANTAGE FUND - DIRECT Plan - IDCW Option,43.656,Unknown AMC
118737,INF204K01G60,-,Nippon India Balanced Advantage Fund - Direct Plan Growth Plan - Bonus Option,9.6826,Nippon India Mutual Fund
118736,INF204K01G94,-,Nippon India Balanced Advantage Fund - Direct Plan Growth Plan - Growth Option,183.9262,Nippon India Mutual Fund
102848,INF204K01570,INF204K01588,NIPPON INDIA BALANCED ADVANTAGE FUND - IDCW Option,31.6007,Unknown AMC
102847,INF204K01596,-,Nippon India Balanced Advantage Fund-Growth Plan-Bonus Option,163.1397,Nippon India Mutual Fund
102846,INF204K01604,-,Nippon India Balanced Advantage Fund-Growth Plan-Growth Option,163.1397,Nippon India Mutual Fund
152132,INF03VN01829,-,WhiteOak Capital Balanced Hybrid Fund Direct Plan Growth,12.019,WhiteOak Capital Mutual Fund
152133,INF03VN01811,-,WhiteOak Capital Balanced Hybrid Fund Regular Plan Growth,11.784,WhiteOak Capital Mutual Fund
120550,INF209K01R47,-,Aditya Birla Sun Life Regular Savings Fund - DIRECT - MONTHLY IDCW,26.1992,Aditya Birla Sun Life Mutual Fund
120705,INF209K01XH4,INF209K01XJ0,Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Direct Plan,70.3955,Aditya Birla Sun Life Mutual Fund
101818,INF209K01751,INF209K01777,Aditya Birla Sun Life Regular Savings Fund - Growth / Payment - Regular Plan,63.2191,Aditya Birla Sun Life Mutual Fund
101816,INF209K01769,INF209K01DF0,Aditya Birla Sun Life Regular Savings Fund - REGULAR - MONTHLY IDCW,16.1016,Aditya Birla Sun Life Mutual Fund
120477,INF846K01DY0,INF846K01DZ7,Axis Conservative Hybrid Fund - Direct Plan - Annual IDCW,16.1196,Axis Mutual Fund
120480,INF846K01EA8,-,Axis Conservative Hybrid Fund - Direct Plan - Growth Option,33.2715,Axis Mutual Fund
120478,INF846K01EB6,INF846K01EC4,Axis Conservative Hybrid Fund - Direct Plan - Half Yearly,13.3915,Axis Mutual Fund
120479,INF846K01ED2,INF846K01EE0,Axis Conservative Hybrid Fund - Direct Plan - Quarterly,12.9365,Axis Mutual Fund
112927,INF846K01743,INF846K01750,Axis Conservative Hybrid Fund - Regular Plan - Annual IDCW,13.8207,Axis Mutual Fund
112924,INF846K01693,-,Axis Conservative Hybrid Fund - Regular Plan - Growth Option,28.5833,Axis Mutual Fund
112926,INF846K01727,INF846K01735,Axis Conservative Hybrid Fund - Regular Plan - Half Yearly IDCW,12.6755,Axis Mutual Fund
112925,INF846K01701,INF846K01719,Axis Conservative Hybrid Fund - Regular Plan - Quarterly IDCW,10.7936,Axis Mutual Fund
112353,INF194K01RW9,-,BANDHAN Conservative Hybrid Fund - Regular Plan - Growth,30.515,Unknown AMC
112352,INF194K01RY5,INF194K01RX7,BANDHAN Conservative Hybrid Fund - Regular Plan - IDCW,11.2041,Unknown AMC
113361,INF194K01SB1,INF194K01SA3,BANDHAN Conservative Hybrid Fund - Regular Plan - Quarterly IDCW,13.7344,Unknown AMC
118491,INF194K015B9,-,BANDHAN Conservative Hybrid Fund-Direct Plan-Growth,34.0267,Unknown AMC
118490,INF194K017B5,INF194K016B7,BANDHAN Conservative Hybrid Fund-Direct Plan-IDCW,13.0608,Unknown AMC
